dataset	participant_id	classification	count
dset-camcan	sub-CC220697	ignored	0
dset-camcan	sub-CC220713	accepted	0
dset-camcan	sub-CC220713	rejected	4
dset-camcan	sub-CC220713	ignored	4
dset-camcan	sub-CC220806	accepted	9
dset-camcan	sub-CC220806	rejected	6
dset-camcan	sub-CC220806	ignored	1
dset-camcan	sub-CC220828	accepted	4
dset-camcan	sub-CC220828	rejected	3
dset-camcan	sub-CC220828	ignored	2
dset-camcan	sub-CC220843	accepted	18
dset-camcan	sub-CC220843	rejected	12
dset-camcan	sub-CC220843	ignored	1
dset-camcan	sub-CC220901	accepted	14
dset-camcan	sub-CC220901	rejected	9
dset-camcan	sub-CC220901	ignored	0
dset-camcan	sub-CC220920	accepted	3
dset-camcan	sub-CC220920	rejected	4
dset-camcan	sub-CC220920	ignored	3
dset-camcan	sub-CC220974	accepted	4
dset-camcan	sub-CC220974	rejected	6
dset-camcan	sub-CC220974	ignored	1
dset-camcan	sub-CC220999	accepted	20
dset-camcan	sub-CC220999	rejected	13
dset-camcan	sub-CC220999	ignored	2
dset-camcan	sub-CC221002	accepted	2
dset-camcan	sub-CC221002	rejected	5
dset-camcan	sub-CC221002	ignored	3
dset-camcan	sub-CC221031	accepted	5
dset-camcan	sub-CC221031	rejected	4
dset-camcan	sub-CC221031	ignored	1
dset-camcan	sub-CC221033	accepted	14
dset-camcan	sub-CC221033	rejected	12
dset-camcan	sub-CC221033	ignored	2
dset-camcan	sub-CC221038	accepted	8
dset-camcan	sub-CC221038	rejected	6
dset-camcan	sub-CC221038	ignored	2
dset-camcan	sub-CC221054	accepted	0
dset-camcan	sub-CC221054	rejected	3
dset-camcan	sub-CC221054	ignored	5
dset-camcan	sub-CC221107	accepted	4
dset-camcan	sub-CC221107	rejected	7
dset-camcan	sub-CC221107	ignored	0
dset-camcan	sub-CC221209	accepted	4
dset-camcan	sub-CC221209	rejected	9
dset-camcan	sub-CC221209	ignored	0
dset-camcan	sub-CC221220	accepted	0
dset-camcan	sub-CC221220	rejected	6
dset-camcan	sub-CC221220	ignored	2
dset-camcan	sub-CC221244	accepted	4
dset-camcan	sub-CC221244	rejected	3
dset-camcan	sub-CC221244	ignored	7
dset-camcan	sub-CC221324	accepted	2
dset-camcan	sub-CC221324	rejected	6
dset-camcan	sub-CC221324	ignored	3
dset-camcan	sub-CC221352	accepted	13
dset-camcan	sub-CC221352	rejected	15
dset-camcan	sub-CC221352	ignored	1
dset-camcan	sub-CC221373	accepted	5
dset-camcan	sub-CC221373	rejected	4
dset-camcan	sub-CC221373	ignored	2
dset-camcan	sub-CC221487	accepted	5
dset-camcan	sub-CC221487	rejected	8
dset-camcan	sub-CC221487	ignored	1
dset-camcan	sub-CC221511	accepted	2
dset-camcan	sub-CC221511	rejected	5
dset-camcan	sub-CC221511	ignored	4
dset-camcan	sub-CC221527	accepted	10
dset-camcan	sub-CC221527	rejected	12
dset-camcan	sub-CC221527	ignored	0
dset-camcan	sub-CC221565	accepted	0
dset-camcan	sub-CC221565	rejected	3
dset-camcan	sub-CC221565	ignored	7
dset-camcan	sub-CC221580	accepted	0
dset-camcan	sub-CC221580	rejected	5
dset-camcan	sub-CC221580	ignored	2
dset-camcan	sub-CC221648	accepted	4
dset-camcan	sub-CC221648	rejected	7
dset-camcan	sub-CC221648	ignored	1
dset-camcan	sub-CC221733	accepted	3
dset-camcan	sub-CC221733	rejected	6
dset-camcan	sub-CC221733	ignored	2
dset-camcan	sub-CC221740	accepted	2
dset-camcan	sub-CC221740	rejected	8
dset-camcan	sub-CC221740	ignored	0
dset-camcan	sub-CC221755	accepted	0
dset-camcan	sub-CC221755	rejected	1
dset-camcan	sub-CC221755	ignored	9
dset-camcan	sub-CC221775	accepted	2
dset-camcan	sub-CC221775	rejected	4
dset-camcan	sub-CC221775	ignored	4
dset-camcan	sub-CC221828	accepted	3
dset-camcan	sub-CC221828	rejected	8
dset-camcan	sub-CC221828	ignored	4
dset-camcan	sub-CC221886	accepted	3
dset-camcan	sub-CC221886	rejected	7
dset-camcan	sub-CC221886	ignored	3
dset-camcan	sub-CC221954	accepted	3
dset-camcan	sub-CC221954	rejected	8
dset-camcan	sub-CC221954	ignored	1
dset-camcan	sub-CC221977	accepted	2
dset-camcan	sub-CC221977	rejected	7
dset-camcan	sub-CC221977	ignored	0
dset-camcan	sub-CC221980	accepted	4
dset-camcan	sub-CC221980	rejected	4
dset-camcan	sub-CC221980	ignored	3
dset-camcan	sub-CC222120	accepted	3
dset-camcan	sub-CC222120	rejected	9
dset-camcan	sub-CC222120	ignored	1
dset-camcan	sub-CC222125	accepted	2
dset-camcan	sub-CC222125	rejected	9
dset-camcan	sub-CC222125	ignored	2
dset-camcan	sub-CC222185	accepted	7
dset-camcan	sub-CC222185	rejected	4
